,Date,open_spy,close_spy,vol_spy,open_tsla,close_tsla,vol_tsla,daygain_tsla,daygain_spy
51,2010-09-10,111.12,111.48,127819000,20.75,20.17,386600,-0.5799999999999983,0.35999999999999943
52,2010-09-13,112.58,112.72,178503500,20.89,20.72,360800,-0.1700000000000017,0.14000000000000057
53,2010-09-14,112.5,112.65,209823600,20.54,21.12,654700,0.5800000000000018,0.15000000000000568
54,2010-09-15,112.32,113.08,168608400,20.98,21.98,684600,1.0,0.7600000000000051
55,2010-09-16,112.73,113.05,199962900,22.15,20.94,2684500,-1.2099999999999973,0.3199999999999932
56,2010-09-17,113.04,112.49,195836900,21.02,20.23,1198500,-0.7899999999999991,-0.5500000000000114
57,2010-09-20,112.88,114.21,214555200,20.67,21.06,947500,0.389999999999997,1.3299999999999983
58,2010-09-21,114.3,113.98,268389100,20.89,20.77,796000,-0.120000000000001,-0.3199999999999932
59,2010-09-22,113.8,113.42,191322400,20.87,19.87,962900,-1.0,-0.37999999999999545
60,2010-09-23,112.49,112.5,202354300,19.89,19.56,668100,-0.33000000000000185,0.010000000000005116
61,2010-09-24,113.75,114.82,209671800,19.95,20.1,578900,0.15000000000000213,1.0699999999999932
62,2010-09-27,114.86,114.27,128761800,20.4,20.53,418600,0.13000000000000256,-0.5900000000000034
63,2010-09-28,114.42,114.67,209207500,21.04,21.4,1214500,0.35999999999999943,0.25
64,2010-09-29,114.38,114.47,179665800,21.19,21.98,1969300,0.7899999999999991,0.09000000000000341
65,2010-09-30,115.05,114.13,287106700,22.0,20.41,2195800,-1.5899999999999999,-0.9200000000000017
66,2010-10-01,114.99,114.61,174638700,20.69,20.6,597700,-0.08999999999999986,-0.37999999999999545
67,2010-10-04,114.37,113.75,166153200,20.43,20.99,643600,0.5599999999999987,-0.6200000000000045
68,2010-10-05,114.8,116.04,229634100,21.15,21.12,332000,-0.029999999999997584,1.240000000000009
69,2010-10-06,116.02,116.03,148626600,21.06,20.46,313400,-0.5999999999999979,0.010000000000005116
70,2010-10-07,116.5,115.89,164860000,20.57,20.43,141000,-0.14000000000000057,-0.6099999999999994
71,2010-10-08,116.05,116.54,177760100,20.43,20.43,267800,0.0,0.4900000000000091
72,2010-10-11,116.72,116.65,103098300,20.44,20.24,171200,-0.20000000000000284,-0.06999999999999318
73,2010-10-12,116.27,117.01,182210000,20.2,20.24,244000,0.03999999999999915,0.7400000000000091
74,2010-10-13,117.66,117.92,194347200,20.64,20.54,318200,-0.10000000000000142,0.2600000000000051
75,2010-10-14,117.81,117.46,217764300,21.0,20.75,294800,-0.25,-0.3500000000000085
76,2010-10-15,118.28,117.7,243705000,20.89,20.54,284700,-0.3500000000000014,-0.5799999999999983
77,2010-10-18,117.74,118.28,141204800,20.52,20.23,162800,-0.28999999999999915,0.5400000000000063
78,2010-10-19,117.19,116.73,280604700,20.2,20.05,245200,-0.14999999999999858,-0.45999999999999375
79,2010-10-20,116.94,117.87,200051800,20.16,20.65,312500,0.48999999999999844,0.9300000000000068
80,2010-10-21,118.4,118.13,221585500,20.61,20.75,417100,0.14000000000000057,-0.27000000000001023
81,2010-10-22,118.31,118.35,108212400,20.68,20.72,161100,0.03999999999999915,0.03999999999999204
82,2010-10-25,119.14,118.7,151145700,20.94,20.85,118500,-0.08999999999999986,-0.4399999999999977
83,2010-10-26,118.1,118.72,158982900,20.8,21.36,660900,0.5599999999999987,0.6200000000000045
84,2010-10-27,117.89,118.38,190024000,21.25,21.0,356500,-0.25,0.4899999999999949
85,2010-10-28,119.06,118.4,168576000,21.39,21.19,224200,-0.1999999999999993,-0.6599999999999966
86,2010-10-29,118.28,118.49,144305500,21.14,21.84,280600,0.6999999999999993,0.20999999999999375
87,2010-11-01,119.07,118.53,174074800,21.94,21.41,455800,-0.5300000000000011,-0.539999999999992
88,2010-11-02,119.42,119.47,158345900,21.68,21.25,322500,-0.4299999999999997,0.04999999999999716
89,2010-11-03,119.68,119.95,226702800,21.28,21.77,372600,0.48999999999999844,0.269999999999996
90,2010-11-04,121.28,122.26,215039400,22.6,24.9,1874000,2.299999999999997,0.980000000000004
91,2010-11-05,122.34,122.72,180654100,24.87,24.44,1011000,-0.4299999999999997,0.37999999999999545
92,2010-11-08,122.34,122.49,156107100,24.5,24.98,509500,0.4800000000000004,0.14999999999999147
93,2010-11-09,122.82,121.61,186621600,25.0,24.63,956400,-0.370000000000001,-1.2099999999999937
94,2010-11-10,121.58,122.1,221387400,24.48,29.36,3060500,4.879999999999999,0.519999999999996
95,2010-11-11,121.05,121.64,158017600,28.6,28.04,1945300,-0.5600000000000023,0.5900000000000034
96,2010-11-12,120.82,120.2,239068800,28.25,29.84,2729100,1.5899999999999999,-0.6199999999999903
97,2010-11-15,120.58,120.03,163940800,30.22,30.8,2622900,0.5800000000000018,-0.5499999999999972
98,2010-11-16,119.29,118.16,299566200,31.0,29.67,1347600,-1.3299999999999983,-1.1300000000000097
99,2010-11-17,118.21,118.22,172308900,30.2,29.49,750000,-0.7100000000000009,0.010000000000005116
100,2010-11-18,119.36,119.96,197723700,30.67,29.89,956100,-0.7800000000000011,0.5999999999999943
101,2010-11-19,119.9,120.29,156852900,30.16,30.99,1150500,0.8299999999999983,0.39000000000000057
102,2010-11-22,119.69,120.19,181361000,31.57,33.4,1529700,1.8299999999999983,0.5
103,2010-11-23,118.77,118.45,222309000,33.29,34.57,1577800,1.2800000000000011,-0.3199999999999932
104,2010-11-24,119.2,120.2,140046100,35.27,35.47,1425000,0.19999999999999574,1.0
105,2010-11-26,119.16,118.8,76007800,35.6,35.32,350600,-0.28000000000000114,-0.35999999999999943
106,2010-11-29,118.5,119.16,223642300,35.41,34.33,1145600,-1.0799999999999983,0.6599999999999966
107,2010-11-30,117.98,118.49,233930700,33.74,35.33,2222600,1.5899999999999963,0.5099999999999909
108,2010-12-01,120.2,121.01,221037200,35.87,34.35,1299200,-1.519999999999996,0.8100000000000023
109,2010-12-02,121.2,122.56,191213600,34.01,32.35,2007000,-1.6599999999999966,1.3599999999999994
110,2010-12-03,122.14,122.89,151288900,32.01,31.49,1160100,-0.5199999999999996,0.75
111,2010-12-06,122.63,122.76,103050500,31.35,30.31,1274400,-1.0400000000000027,0.13000000000000966
112,2010-12-07,123.94,122.83,206581000,30.49,31.56,1311300,1.0700000000000003,-1.1099999999999994
113,2010-12-08,122.98,123.28,138019200,32.48,32.37,660000,-0.10999999999999943,0.29999999999999716
114,2010-12-09,123.97,123.76,123705100,32.51,32.05,406000,-0.46000000000000085,-0.20999999999999375
115,2010-12-10,124.14,124.48,117571700,32.05,31.52,429400,-0.5299999999999976,0.3400000000000034
116,2010-12-13,125.05,124.56,133812700,31.64,30.55,410400,-1.0899999999999999,-0.4899999999999949
117,2010-12-14,124.75,124.67,147249600,30.29,28.53,1765700,-1.759999999999998,-0.0799999999999983
118,2010-12-15,124.44,124.1,160823100,28.67,29.6,742900,0.9299999999999997,-0.3400000000000034
119,2010-12-16,124.18,124.82,185035200,30.0,30.81,790100,0.8099999999999987,0.6399999999999864
120,2010-12-17,124.08,124.3,141075300,31.34,31.36,813000,0.019999999999999574,0.21999999999999886
121,2010-12-20,124.64,124.6,119085500,31.64,31.7,523400,0.05999999999999872,-0.04000000000000625
122,2010-12-21,124.99,125.39,94965500,31.8,32.26,777700,0.4599999999999973,0.4000000000000057
123,2010-12-22,125.48,125.78,78878100,32.25,32.63,833300,0.38000000000000256,0.29999999999999716
124,2010-12-23,125.64,125.6,70053700,31.26,30.09,1552600,-1.1700000000000017,-0.04000000000000625
125,2010-12-27,125.13,125.65,58126000,28.02,25.55,9301900,-2.469999999999999,0.5200000000000102
126,2010-12-28,125.9,125.83,55309100,25.85,26.41,4056300,0.5599999999999987,-0.07000000000000739
127,2010-12-29,125.98,125.92,58033100,27.03,27.73,3319200,0.6999999999999993,-0.060000000000002274
128,2010-12-30,125.8,125.72,76616900,27.7,26.5,2041100,-1.1999999999999993,-0.0799999999999983
129,2010-12-31,125.53,125.75,91218900,26.57,26.63,1417900,0.05999999999999872,0.21999999999999886
130,2011-01-03,126.71,127.05,138725200,26.84,26.62,1283000,-0.21999999999999886,0.3400000000000034
131,2011-01-04,127.33,126.98,137409700,26.66,26.67,1187400,0.010000000000001563,-0.3499999999999943
132,2011-01-05,126.58,127.64,133975300,26.48,26.83,1446700,0.34999999999999787,1.0600000000000023
133,2011-01-06,127.69,127.39,122519000,26.83,27.88,2061200,1.0500000000000007,-0.29999999999999716
134,2011-01-07,127.56,127.14,156034600,28.0,28.24,2247900,0.23999999999999844,-0.4200000000000017
135,2011-01-10,126.58,126.98,122401700,28.17,28.45,1342700,0.2799999999999976,0.4000000000000057
136,2011-01-11,127.44,127.43,110287000,28.59,26.96,1710200,-1.629999999999999,-0.009999999999990905
137,2011-01-12,128.21,128.58,107929200,27.01,26.96,964400,-0.05000000000000071,0.37000000000000455
138,2011-01-13,128.63,128.37,129048400,26.96,26.22,723600,-0.740000000000002,-0.2599999999999909
139,2011-01-14,128.19,129.3,117677900,26.15,25.75,1192000,-0.3999999999999986,1.1100000000000136
140,2011-01-18,129.18,129.52,114401300,25.48,25.64,1621700,0.16000000000000014,0.3400000000000034
141,2011-01-19,129.41,128.25,151958400,25.27,24.03,2371500,-1.2399999999999984,-1.1599999999999966
142,2011-01-20,127.96,128.08,175745700,24.03,22.62,2279900,-1.4100000000000001,0.12000000000001876
143,2011-01-21,128.88,128.37,151462900,23.12,23.04,1217000,-0.08000000000000185,-0.5099999999999909
144,2011-01-24,128.29,129.1,113715500,23.53,24.49,1645100,0.9599999999999973,0.8100000000000023
145,2011-01-25,128.76,129.17,167552200,24.65,24.68,1271500,0.030000000000001137,0.4099999999999966
146,2011-01-26,129.49,129.67,141281500,24.71,24.75,1079900,0.03999999999999915,0.1799999999999784
147,2011-01-27,129.7,129.99,123302700,24.74,24.92,895700,0.18000000000000327,0.29000000000002046
148,2011-01-28,130.14,127.72,295637300,24.88,24.01,1048400,-0.8699999999999974,-2.4199999999999875
149,2011-01-31,128.07,128.68,149249200,24.05,24.1,830300,0.05000000000000071,0.6100000000000136
150,2011-02-01,129.46,130.74,167194300,24.31,23.91,707800,-0.3999999999999986,1.2800000000000011
151,2011-02-02,130.4,130.49,118323600,24.16,23.94,569500,-0.21999999999999886,0.09000000000000341
152,2011-02-03,130.26,130.78,145886700,23.82,23.63,512000,-0.19000000000000128,0.5200000000000102
153,2011-02-04,130.83,131.15,134634800,23.44,23.46,544000,0.019999999999999574,0.3199999999999932
154,2011-02-07,131.44,131.97,112439100,23.26,23.07,895100,-0.19000000000000128,0.5300000000000011
155,2011-02-08,132.09,132.57,99072800,23.78,24.49,3504900,0.7099999999999973,0.47999999999998977
156,2011-02-09,132.21,132.27,146436700,24.13,23.21,2635600,-0.9199999999999982,0.060000000000002274
157,2011-02-10,131.6,132.32,162708500,23.26,23.22,836100,-0.0400000000000027,0.7199999999999989
158,2011-02-11,131.8,133.11,137710300,23.25,23.25,634500,0.0,1.3100000000000023
159,2011-02-14,133.03,133.43,101690700,23.64,23.08,1283100,-0.5600000000000023,0.4000000000000057
160,2011-02-15,133.02,133.01,119575400,23.01,22.84,953700,-0.1700000000000017,-0.010000000000019327
161,2011-02-16,133.46,133.85,130183500,23.1,24.73,4115100,1.629999999999999,0.38999999999998636
162,2011-02-17,133.46,134.25,109810500,24.63,23.6,2618400,-1.0299999999999976,0.789999999999992
163,2011-02-18,134.37,134.53,130002400,23.33,23.18,2370700,-0.14999999999999858,0.1599999999999966
164,2011-02-22,133.12,131.83,233116400,22.88,21.87,2064600,-1.009999999999998,-1.289999999999992
165,2011-02-23,131.75,131.02,227584000,22.18,21.83,1605600,-0.3500000000000014,-0.7299999999999898
166,2011-02-24,130.88,130.93,260431400,21.78,22.53,1055300,0.75,0.05000000000001137
167,2011-02-25,131.48,132.33,141686900,22.81,23.61,1346300,0.8000000000000007,0.8500000000000227
168,2011-02-28,132.82,133.15,141585500,23.74,23.89,1051200,0.15000000000000213,0.3300000000000125
169,2011-03-01,133.57,130.93,258565500,24.05,23.94,1106400,-0.10999999999999943,-2.6399999999999864
170,2011-03-02,130.75,131.21,200277400,23.82,24.02,663300,0.1999999999999993,0.46000000000000796
171,2011-03-03,132.4,133.47,176480100,24.48,24.36,640200,-0.120000000000001,1.0699999999999932
172,2011-03-04,133.37,132.47,277202300,24.48,24.95,1580100,0.46999999999999886,-0.9000000000000057
173,2011-03-07,132.86,131.43,216790400,24.93,24.94,2033600,0.010000000000001563,-1.4300000000000068
174,2011-03-08,131.64,132.58,174615000,24.6,24.66,1399900,0.05999999999999872,0.9400000000000261
175,2011-03-09,132.32,132.39,153806000,24.66,24.72,924800,0.05999999999999872,0.06999999999999318
176,2011-03-10,131.0,129.94,301291800,24.44,24.01,1017000,-0.4299999999999997,-1.0600000000000023
177,2011-03-11,129.52,130.84,225621800,23.85,24.07,930800,0.21999999999999886,1.3199999999999932
178,2011-03-14,129.99,130.05,234974100,23.82,23.25,1166000,-0.5700000000000003,0.060000000000002274
179,2011-03-15,126.59,128.56,359585400,22.2,22.95,1318800,0.75,1.9699999999999989
180,2011-03-16,128.15,126.18,468670300,22.86,22.82,1169700,-0.03999999999999915,-1.9699999999999989
181,2011-03-17,128.0,127.85,254303700,23.24,22.81,922600,-0.4299999999999997,-0.15000000000000568
182,2011-03-18,128.84,127.76,230435400,23.19,22.96,687900,-0.23000000000000043,-1.0799999999999983
183,2011-03-21,129.35,129.74,153992600,23.05,22.73,411700,-0.3200000000000003,0.3900000000000148
184,2011-03-22,129.72,129.29,129538600,22.73,22.19,582900,-0.5399999999999991,-0.4300000000000068
185,2011-03-23,128.93,129.66,148603100,22.11,22.21,422800,0.10000000000000142,0.7299999999999898
186,2011-03-24,130.4,130.9,159129800,22.14,22.33,462200,0.18999999999999773,0.5
187,2011-03-25,131.24,131.3,155642800,22.43,22.75,568000,0.3200000000000003,0.060000000000002274
188,2011-03-28,131.58,130.98,109762400,22.7,23.25,1058100,0.5500000000000007,-0.6000000000000227
189,2011-03-29,130.87,131.86,129798800,23.3,23.92,755400,0.620000000000001,0.9900000000000091
190,2011-03-30,132.55,132.77,135835000,24.11,23.71,1223300,-0.3999999999999986,0.21999999999999886
191,2011-03-31,132.6,132.59,132537100,26.55,27.75,11517800,1.1999999999999993,-0.009999999999990905
192,2011-04-01,133.41,133.15,153850100,27.45,26.66,2864800,-0.7899999999999991,-0.2599999999999909
193,2011-04-04,133.43,133.26,100768900,26.83,25.83,2609300,-1.0,-0.17000000000001592
194,2011-04-05,133.0,133.24,120791500,25.9,26.7,3180900,0.8000000000000007,0.2400000000000091
195,2011-04-06,133.88,133.66,120411600,26.99,26.49,1288300,-0.5,-0.21999999999999886
196,2011-04-07,133.42,133.32,170731500,26.85,27.24,2810300,0.389999999999997,-0.09999999999999432
197,2011-04-08,133.91,132.86,147945400,27.58,26.49,1946400,-1.0899999999999999,-1.049999999999983
198,2011-04-11,133.0,132.46,121385400,26.47,25.27,1369400,-1.1999999999999993,-0.539999999999992
199,2011-04-12,131.72,131.47,161187400,25.08,24.65,1357400,-0.4299999999999997,-0.25
200,2011-04-13,132.08,131.46,162059000,25.13,24.93,1211500,-0.1999999999999993,-0.6200000000000045
201,2011-04-14,130.7,131.56,161220400,24.87,25.14,983400,0.2699999999999996,0.8600000000000136
202,2011-04-15,131.8,132.04,170006700,25.65,25.58,943500,-0.07000000000000028,0.23999999999998067
203,2011-04-18,130.59,130.56,210759300,25.13,25.03,1033900,-0.09999999999999787,-0.030000000000001137
204,2011-04-19,130.76,131.31,124258800,25.26,25.16,548700,-0.10000000000000142,0.5500000000000114
205,2011-04-20,132.88,133.1,156133800,25.7,25.75,837200,0.05000000000000071,0.21999999999999886
206,2011-04-21,133.79,133.78,135935400,25.85,26.74,1386100,0.889999999999997,-0.009999999999990905
207,2011-04-25,133.68,133.64,65757100,26.7,26.39,800900,-0.3099999999999987,-0.040000000000020464
208,2011-04-26,134.05,134.79,146600000,26.66,26.93,1400000,0.2699999999999996,0.7399999999999807
209,2011-04-27,135.05,135.67,143031000,26.93,27.08,996900,0.14999999999999858,0.6199999999999761
210,2011-04-28,135.43,136.11,124791100,27.07,27.66,1600000,0.5899999999999999,0.6800000000000068
